mes_solicitud,edad,suma_saldo_vencido_open,suma_saldo_actual_open,razon_monto_apagar_saldo_actual_open,razon_monto_apagar_limite_credito_open,razon_monto_apagar_saldo_vencido_open,razon_maximo_saldo_maxima_mora_maximo_credito_masalto_open,razon_saldo_vencido_saldo_actual_open,suma_ponderada_pagos_12m_open,suma_ponderada_pagos_18m_open,suma_ponderada_pagos_24m_open,r_sumapd_sumcl_open,r_sumcb_sumcl_open,r_sumhhda_sumhc_open,utilizacion_maximo_limite_open,utilizacion_open,max_antiguedad_cuenta_meses_open,min_antiguedad_cuenta_meses_open,promedio_antiguedad_cuenta_meses_open,max_mop_tc_ult_12m_open,max_mop_tc_ult_18m_open,max_mop_tc_ult_24m_open,num_ctas_antig_12m_open,num_ctas_antig_18m_open,num_ctas_antig_24m_open,suma_saldo_vencido_ban_all,suma_saldo_actual_ban_all,razon_monto_apagar_saldo_actual_ban_all,razon_monto_apagar_limite_credito_ban_all,razon_monto_apagar_saldo_vencido_ban_all,razon_maximo_saldo_maxima_mora_maximo_credito_masalto_ban_all,razon_saldo_vencido_saldo_actual_ban_all,suma_ponderada_pagos_12m_ban_all,suma_ponderada_pagos_18m_ban_all,suma_ponderada_pagos_24m_ban_all,r_sumapd_sumcl_ban_all,r_sumcb_sumcl_ban_all,r_sumhhda_sumhc_ban_all,utilizacion_maximo_limite_ban_all,utilizacion_ban_all,max_antiguedad_cuenta_meses_ban_all,min_antiguedad_cuenta_meses_ban_all,promedio_antiguedad_cuenta_meses_ban_all,max_mop_tc_ult_12m_ban_all,max_mop_tc_ult_18m_ban_all,max_mop_tc_ult_24m_ban_all,num_ctas_antig_12m_ban_all,num_ctas_antig_18m_ban_all,num_ctas_antig_24m_ban_all,n_cons6meses_all,n_cons9meses_all,n_cons12meses_all,f_3pva18m
201708,34.0,0.0,12583.44286,0.00308786,0.002128666,,,0.0,0.514901956,0.431689136,0.378902551,0.0,0.689366131,,1.149943978,0.689366131,45.67213115,23.80327869,34.92622951,1.0,1.0,1.0,0.0,0.0,1.0,0.0,6961.079216,0.00558188,0.002310062,,0.0,0.0,0.503051576,0.427562709,0.377504496,0.0,0.413850103,0.0,0.702076923,0.413850103,61.90163934,8.06557377,32.22404372,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,0
201708,24.0,0.0,0.0,,0.0,,1.711206897,,0.725189013,0.725189013,0.725189013,0.0,0.0,1.711206897,0.077333333,0.0,10.75409836,8.196721311,9.475409836,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,,0.0,,,,0.690756929,0.690756929,0.690756929,0.0,0.0,,0.0,0.0,8.196721311,8.196721311,8.196721311,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,0
201708,26.0,0.0,1711.499717,0.101112235,0.010330579,,0.0,0.0,0.439000786,0.407183098,0.397204578,0.0,0.102169421,0.0,1.0,0.102169421,25.96721311,8.032786885,14.21857923,1.0,1.0,1.0,4.0,4.0,4.0,0.0,1711.499717,0.101112235,0.025125628,,0.0,0.0,0.389711261,0.355427326,0.345188298,0.0,0.248492462,0.0,0.6766,0.248492462,25.96721311,8.032786885,17.0,1.0,1.0,1.0,2.0,2.0,2.0,6.0,10.0,12.0,0
201708,38.0,2385.662672,57350.37555,0.094944156,0.054663128,2.282419495,0.040603132,0.041598031,0.629150927,0.528393204,0.469734339,0.023949641,0.575739785,0.015047762,0.704125165,0.575739785,117.6721311,14.06557377,75.92505855,3.0,3.0,3.0,0.0,2.0,2.0,2385.662672,57350.37555,0.085494995,0.011548242,2.055265448,0.057715659,0.041598031,0.79031586,0.652018673,0.563254455,0.005618857,0.135075065,0.004680007,0.704125165,0.135075065,117.5409836,7.147540984,57.47306792,3.0,3.0,3.0,4.0,4.0,8.0,12.0,16.0,20.0,0
201708,45.0,0.0,262922.7837,0.045961347,0.071250051,,0.004170667,0.0,0.519077507,0.437903507,0.399687329,0.0,1.550216754,0.001549839,1.5,1.550216754,199.8688525,18.29508197,87.33989071,2.0,2.0,4.0,0.0,0.0,2.0,0.0,128815.9696,0.011067105,0.003799798,,0.0,0.0,0.496626231,0.433746227,0.390351944,0.0,0.343341614,0.0,0.96023,0.343341614,199.8688525,13.93442623,82.13989071,1.0,1.0,1.0,0.0,1.0,2.0,2.0,3.0,4.0,0
201708,30.0,0.0,43394.35134,0.039103153,0.017536627,,0.0,0.0,0.534228472,0.465528009,0.434373273,0.0,0.448470922,0.0,1.0,0.448470922,43.83606557,10.78688525,28.21857923,1.0,1.0,1.0,2.0,4.0,6.0,0.0,197.7121639,0.438596491,0.005102041,,,0.0,0.519080172,0.466299075,0.466299075,0.0,0.011632653,,0.612633333,0.011632653,38.72131148,17.67213115,28.19672131,1.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,0
201708,52.0,0.0,52860.38814,0.008058709,0.002150027,,0.0,0.0,0.519507848,0.448204308,0.401034279,0.0,0.266795447,0.0,1.0,0.266795447,59.21311475,7.114754098,31.94899818,1.0,1.0,1.0,6.0,6.0,8.0,0.0,0.0,,0.0,,,,0.30429031,0.228217732,0.228217732,0.0,0.0,,0.0,0.0,7.475409836,7.114754098,7.295081967,0.0,0.0,0.0,4.0,4.0,4.0,6.0,12.0,16.0,0
201708,58.0,0.0,22242.81101,0.104981679,0.032869557,,0.011723626,0.0,0.521432458,0.461739294,0.419700195,0.0,0.313098028,0.002829884,1.018154312,0.313098028,382.1311475,6.721311475,99.11007026,2.0,2.0,2.0,4.0,6.0,6.0,0.0,399.5278441,0.434027778,0.00037,,0.038088922,0.0,0.552602581,0.516917998,0.489333908,0.0,0.000852,0.002473565,0.930617181,0.000852,265.6721311,0.163934426,69.75331772,1.0,1.0,1.0,8.0,12.0,14.0,6.0,10.0,12.0,0
201708,30.0,0.0,285233.0455,0.012811732,0.038880203,,0.000131,0.0,0.473245462,0.408511085,0.36852694,0.0,3.034734306,3.16e-05,1.632707621,3.034734306,48.78688525,5.475409836,33.04918033,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,5.475409836,5.475409836,5.475409836,0.0,0.0,0.0,2.0,2.0,2.0,6.0,8.0,10.0,0
201708,51.0,0.0,20719.17937,0.11327171,0.102180451,,0.03504836,0.0,0.557681402,0.46298988,0.410565982,0.0,0.902082707,0.023042992,4.226463964,0.902082707,192.7213115,16.2295082,63.48435171,2.0,2.0,2.0,0.0,1.0,3.0,0.0,4144.284875,0.02708559,0.009628488,,0.0,0.0,0.559281241,0.476697052,0.437188641,0.0,0.355483795,0.0,1.044439415,0.355483795,144.0,16.2295082,74.46370023,1.0,1.0,1.0,0.0,1.0,1.0,5.0,7.0,7.0,0
